编号,卡名,计划,固定属性VO,固定属性DA,固定属性VI,百分比加成VO,百分比加成DA,百分比加成VI
amao-1-000,学園生活,Sense,115,80,90,20.0,6.0,23.0
amao-1-001,初恋,Logic,115,80,90,20.0,6.0,23.0
amao-2-000,はじまりはカッコよく,Sense,120,85,95,21.0,7.0,23.0
amao-3-000,Fluorite,Sense,125,90,100,22.0,8.0,23.0
amao-3-001,キミとセミブルー,Sense,125,90,100,22.0,8.0,23.0
amao-3-002,Feel Jewel Dream,Logic,125,90,100,22.0,8.0,23.0
amao-3-003,祭,Sense,125,90,100,22.0,8.0,23.0
amao-3-005,ハロウィン,Sense,125,90,100,22.0,8.0,23.0
amao-3-006,クリスマス,Sense,125,90,100,22.0,8.0,23.0
amao-3-007,Campus mode!!,Anomaly,125,90,100,22.0,8.0,23.0
amao-3-008,バレンタイン,Sense,125,90,100,22.0,8.0,23.0
amao-3-009,雪解けに,Anomaly,125,90,100,22.0,8.0,23.0
amao-3-010,桜,Sense,125,90,100,22.0,8.0,23.0
amao-3-011,アニメイト,Sense,125,90,100,22.0,8.0,23.0
amao-3-012,Howling over the World,Sense,125,90,100,22.0,8.0,23.0
amao-3-013,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,125,90,100,22.0,8.0,23.0
amao-3-014,がむしゃらに行こう！,Sense,125,90,100,22.0,8.0,23.0
amao-3-015,見て,Sense,125,90,100,22.0,8.0,23.0
amao-3-016,ENDLESS DANCE,Sense,125,90,100,22.0,8.0,23.0
atbm-1-000,学園生活,Anomaly,105,130,100,15.0,18.0,11.0
atbm-2-000,初志貫徹,Logic,110,135,105,16.0,19.0,12.0
atbm-3-000,理論武装して,Logic,115,140,110,17.0,20.0,13.0
atbm-3-006,ひな祭り,Logic,115,140,110,17.0,20.0,13.0
atbm-3-007,桜,Logic,115,140,110,17.0,20.0,13.0
atbm-3-012,Campus mode!!,Sense,115,140,110,17.0,20.0,13.0
atbm-3-013,ENDLESS DANCE,Logic,115,140,110,17.0,20.0,13.0
fktn-1-000,学園生活,Logic,80,80,110,6.0,23.5,21.5
fktn-1-001,初声,Sense,80,80,110,6.0,23.5,21.5
fktn-2-000,カワイイ♡はじめました,Logic,85,85,115,7.0,23.5,22.5
fktn-3-000,世界一可愛い私,Logic,90,90,120,8.0,24.5,22.5
fktn-3-001,Yellow Big Bang！,Sense,90,90,120,8.0,24.5,22.5
fktn-3-002,冠菊,Logic,90,90,120,8.0,24.5,22.5
fktn-3-003,夏,Logic,90,90,120,8.0,24.5,22.5
fktn-3-005,ハロウィン,Logic,90,90,120,8.0,24.5,22.5
fktn-3-006,White Night! White Wish!,Logic,90,90,120,8.0,24.5,22.5
fktn-3-007,Campus mode!!,Logic,90,90,120,8.0,24.5,22.5
fktn-3-008,バレンタイン,Logic,90,90,120,8.0,24.5,22.5
fktn-3-009,ひな祭り,Logic,90,90,120,8.0,24.5,22.5
fktn-3-010,桜,Logic,90,90,120,8.0,24.5,22.5
fktn-3-011,雨上がりのアイリス,Anomaly,90,90,120,8.0,24.5,22.5
fktn-3-012,アニメイト,Logic,90,90,120,8.0,24.5,22.5
fktn-3-013,自己肯定感爆上げ↑↑しゅきしゅきソング,Sense,90,90,120,8.0,24.5,22.5
fktn-3-014,Howling over the World,Logic,90,90,120,8.0,24.5,22.5
fktn-3-015,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,90,90,120,8.0,24.5,22.5
fktn-3-016,がむしゃらに行こう！,Sense,90,90,120,8.0,24.5,22.5
fktn-3-017,ENDLESS DANCE,Logic,90,90,120,8.0,24.5,22.5
hmsz-1-000,学園生活,Anomaly,75,115,125,25.0,8.0,16.0
hmsz-1-001,初陣,Logic,75,115,125,25.0,8.0,16.0
hmsz-2-000,ゆっくり、一歩ずつ,Anomaly,80,120,130,26.0,9.0,17.0
hmsz-3-000,ツキノカメ,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-001,夏,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-002,祭,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-003,ハロウィン,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-004,クリスマス,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-005,Campus mode!!,Logic,85,125,135,27.0,10.0,18.0
hmsz-3-006,バレンタイン,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-007,ひな祭り,Anomaly,85,125,135,27.0,10.0,18.0
